Dia;Temperatura_C;Umidade_RH;Maquina
12;11,7;59,5;RS1-030
12;11,5;59,0;RS1-030
12;11,4;59,0;RS1-030
12;11,8;59,5;RS1-030
12;11,0;61,5;RS1-030
12;11,8;59,0;RS1-030
12;11,6;58,0;RS1-030
12;11,6;58,5;RS1-030
12;11,9;58,0;RS1-030
12;11,7;58,5;RS1-030
12;11,4;59,0;RS1-030
12;11,8;58,5;RS1-030
12;11,6;59,5;RS1-030
12;11,9;59,0;RS1-030
12;11,6;58,0;RS1-030
12;11,9;57,5;RS1-030
12;11,7;60,5;RS1-030
12;11,7;59,0;RS1-030
12;11,5;59,0;RS1-030
12;12,0;58,5;RS1-030
12;11,4;60,5;RS1-030
12;12,1;58,5;RS1-030
12;12,1;59,5;RS1-030
12;11,8;59,5;RS1-030
12;12,2;59,5;RS1-030
12;11,7;59,0;RS1-030
12;12,1;60,5;RS1-030
12;12,0;60,5;RS1-030
12;11,6;61,0;RS1-030
12;11,6;60,5;RS1-030
12;12,0;60,5;RS1-030
12;11,8;61,0;RS1-030
12;11,9;61,0;RS1-030
12;11,8;60,0;RS1-030
12;11,9;60,5;RS1-030
12;12,0;60,0;RS1-030
12;11,4;61,0;RS1-030
12;11,4;60,0;RS1-030
12;12,0;59,5;RS1-030
12;11,8;59,0;RS1-030
12;11,4;61,5;RS1-030
12;11,4;60,0;RS1-030
13;11,8;59,5;RS1-030
13;11,8;59,0;RS1-030
13;12,0;59,5;RS1-030
13;11,7;59,5;RS1-030
13;11,3;60,5;RS1-030
13;11,9;59,5;RS1-030
13;11,1;59,5;RS1-030
13;10,9;60,5;RS1-030
13;11,4;60,0;RS1-030
13;11,0;60,0;RS1-030
13;11,2;60,5;RS1-030
13;11,2;59,5;RS1-030
13;11,6;59,0;RS1-030
13;11,8;58,5;RS1-030
13;12,0;60,0;RS1-030
13;12,1;58,5;RS1-030
12;11,0;59,5;RS1-040
12;10,5;62,5;RS1-040
12;10,6;63,0;RS1-040
12;11,9;61,0;RS1-040
12;10,5;62,0;RS1-040
12;10,6;63,0;RS1-040
12;10,6;63,5;RS1-040
12;11,2;60,5;RS1-040
12;11,1;62,0;RS1-040
12;11,4;61,0;RS1-040
12;10,6;65,0;RS1-040
12;11,7;60,0;RS1-040
12;11,0;59,0;RS1-040
12;10,6;62,0;RS1-040
12;11,0;63,0;RS1-040
12;10,8;60,5;RS1-040
12;10,6;62,0;RS1-040
12;10,9;62,5;RS1-040
12;11,2;64,5;RS1-040
12;11,3;59,5;RS1-040
12;10,7;62,0;RS1-040
12;11,8;62,0;RS1-040
12;11,2;62,5;RS1-040
12;10,8;62,0;RS1-040
12;10,5;63,5;RS1-040
12;10,8;63,5;RS1-040
12;10,6;64,5;RS1-040
12;11,7;61,0;RS1-040
12;10,9;62,5;RS1-040
12;11,0;63,5;RS1-040
12;11,7;63,0;RS1-040
12;11,3;61,5;RS1-040
12;11,0;63,5;RS1-040
12;11,9;63,0;RS1-040
12;11,9;64,0;RS1-040
12;11,3;62,0;RS1-040
12;10,7;64,5;RS1-040
12;11,0;65,5;RS1-040
12;11,6;64,5;RS1-040
12;11,5;62,5;RS1-040
12;11,5;63,5;RS1-040
12;11,3;64,0;RS1-040
12;11,5;64,0;RS1-040
12;11,7;62,5;RS1-040
12;11,8;61,0;RS1-040
12;11,5;62,0;RS1-040
12;10,6;65,0;RS1-040
12;11,6;62,0;RS1-040
13;10,9;60,5;RS1-040
13;10,6;63,5;RS1-040
13;10,4;64,5;RS1-040
13;11,9;61,5;RS1-040
13;10,4;62,5;RS1-040
13;10,5;64,0;RS1-040
13;10,5;64,0;RS1-040
13;10,8;62,5;RS1-040
13;10,9;62,0;RS1-040
13;11,6;60,5;RS1-040
13;10,3;65,0;RS1-040
13;11,5;61,0;RS1-040
13;11,9;59,0;RS1-040
13;10,6;62,5;RS1-040
13;11,3;63,0;RS1-040
13;11,5;60,5;RS1-040
12;12,1;59,0;RS1-050
12;11,6;60,5;RS1-050
12;11,8;59,5;RS1-050
12;12,2;60,5;RS1-050
12;11,6;60,0;RS1-050
12;11,6;61,0;RS1-050
12;11,6;60,5;RS1-050
12;11,7;60,0;RS1-050
12;11,4;61,5;RS1-050
12;11,7;61,5;RS1-050
12;11,3;62,5;RS1-050
12;12,1;60,0;RS1-050
12;12,1;58,5;RS1-050
12;11,6;60,0;RS1-050
12;12,0;59,0;RS1-050
12;11,9;59,0;RS1-050
12;11,7;60,0;RS1-050
12;11,9;59,5;RS1-050
12;11,9;61,0;RS1-050
12;12,3;59,0;RS1-050
12;11,8;59,5;RS1-050
12;11,9;62,0;RS1-050
12;11,7;61,5;RS1-050
12;11,7;60,5;RS1-050
12;11,6;60,5;RS1-050
12;11,8;60,5;RS1-050
12;11,6;61,5;RS1-050
12;12,1;61,0;RS1-050
12;11,9;61,0;RS1-050
12;11,9;61,0;RS1-050
12;12,7;61,0;RS1-050
12;12,3;60,0;RS1-050
12;11,9;61,5;RS1-050
12;12,1;62,5;RS1-050
12;12,0;64,0;RS1-050
12;12,2;60,5;RS1-050
12;11,8;62,5;RS1-050
12;11,8;64,0;RS1-050
12;11,8;63,5;RS1-050
12;12,0;62,5;RS1-050
12;11,8;62,5;RS1-050
12;11,8;63,5;RS1-050
12;11,7;63,5;RS1-050
12;12,3;62,0;RS1-050
12;12,4;60,0;RS1-050
12;12,0;62,0;RS1-050
12;11,6;62,5;RS1-050
12;12,1;62,0;RS1-050
13;12,0;59,5;RS1-050
13;11,9;61,5;RS1-050
13;11,6;61,5;RS1-050
13;12,3;61,0;RS1-050
13;11,6;60,5;RS1-050
13;11,5;62,5;RS1-050
13;11,8;60,5;RS1-050
13;11,9;60,0;RS1-050
13;11,8;59,0;RS1-050
13;12,0;59,5;RS1-050
13;11,3;63,0;RS1-050
13;11,9;61,0;RS1-050
13;12,3;59,0;RS1-050
13;11,8;60,5;RS1-050
13;12,2;59,5;RS1-050
13;12,3;60,0;RS1-050
12;11,4;62,5;RS1-060
12;11,4;61,0;RS1-060
12;11,1;60,5;RS1-060
12;11,0;61,5;RS1-060
12;11,4;62,0;RS1-060
12;11,3;61,0;RS1-060
12;11,2;61,0;RS1-060
12;11,2;61,5;RS1-060
12;11,4;62,5;RS1-060
12;11,3;62,0;RS1-060
12;11,1;61,5;RS1-060
12;11,0;61,5;RS1-060
12;11,5;62,0;RS1-060
12;11,3;61,0;RS1-060
12;11,1;60,5;RS1-060
12;11,1;61,0;RS1-060
12;11,3;62,0;RS1-060
12;11,4;61,5;RS1-060
12;11,1;61,0;RS1-060
12;11,0;61,5;RS1-060
12;11,4;62,5;RS1-060
12;11,3;62,0;RS1-060
12;11,3;61,5;RS1-060
12;11,1;62,0;RS1-060
12;11,2;62,0;RS1-060
12;11,3;61,5;RS1-060
12;11,2;61,5;RS1-060
12;11,2;62,0;RS1-060
12;11,6;62,5;RS1-060
12;11,5;62,0;RS1-060
12;11,5;61,5;RS1-060
12;11,7;61,0;RS1-060
12;11,7;61,0;RS1-060
12;11,8;61,5;RS1-060
12;11,8;61,5;RS1-060
12;11,8;61,5;RS1-060
12;11,8;61,5;RS1-060
12;11,7;62,0;RS1-060
12;11,6;62,0;RS1-060
12;11,6;62,5;RS1-060
12;11,6;62,0;RS1-060
12;11,5;62,5;RS1-060
12;11,4;62,5;RS1-060
12;11,4;62,5;RS1-060
12;11,7;62,0;RS1-060
12;11,7;62,0;RS1-060
12;11,5;62,0;RS1-060
12;11,4;62,0;RS1-060
13;11,6;61,5;RS1-060
13;11,6;61,5;RS1-060
13;11,5;60,5;RS1-060
13;11,5;61,0;RS1-060
13;11,5;61,0;RS1-060
13;11,6;61,0;RS1-060
13;11,4;61,5;RS1-060
13;11,3;61,0;RS1-060
13;11,6;60,5;RS1-060
13;11,6;61,0;RS1-060
13;11,5;60,5;RS1-060
13;11,4;61,0;RS1-060
13;11,6;60,5;RS1-060
13;11,4;60,5;RS1-060
13;11,3;61,0;RS1-060
13;11,3;60,5;RS1-060
12;11,9;62,5;RS1-070
12;11,2;61,5;RS1-070
12;11,1;61,0;RS1-070
12;11,2;61,0;RS1-070
12;11,8;62,0;RS1-070
12;11,2;61,0;RS1-070
12;11,1;61,0;RS1-070
12;11,1;61,5;RS1-070
12;11,7;62,5;RS1-070
12;11,4;60,5;RS1-070
12;11,0;60,5;RS1-070
12;11,0;61,5;RS1-070
12;11,9;61,5;RS1-070
12;11,2;60,5;RS1-070
12;11,2;60,5;RS1-070
12;10,9;60,5;RS1-070
12;11,7;62,0;RS1-070
12;11,2;60,5;RS1-070
12;11,0;60,5;RS1-070
12;11,0;61,0;RS1-070
12;11,8;62,0;RS1-070
12;11,4;61,0;RS1-070
12;11,2;61,0;RS1-070
12;11,2;61,5;RS1-070
12;11,8;62,5;RS1-070
12;11,4;61,0;RS1-070
12;11,3;61,0;RS1-070
12;11,4;61,5;RS1-070
12;12,3;62,0;RS1-070
12;11,8;61,0;RS1-070
12;12,2;60,5;RS1-070
12;12,2;61,0;RS1-070
12;12,5;61,0;RS1-070
12;12,2;61,5;RS1-070
12;12,1;62,0;RS1-070
12;12,0;62,0;RS1-070
12;12,4;62,0;RS1-070
12;12,0;62,0;RS1-070
12;11,9;62,5;RS1-070
12;11,8;63,0;RS1-070
12;12,4;63,0;RS1-070
12;12,0;62,5;RS1-070
12;11,8;63,0;RS1-070
12;11,8;63,0;RS1-070
12;12,4;62,5;RS1-070
12;12,0;62,0;RS1-070
12;11,7;62,5;RS1-070
12;11,6;62,5;RS1-070
13;12,3;62,0;RS1-070
13;11,8;61,5;RS1-070
13;11,5;61,5;RS1-070
13;11,6;61,5;RS1-070
13;12,2;61,5;RS1-070
13;11,7;61,5;RS1-070
13;11,5;61,5;RS1-070
13;11,5;61,5;RS1-070
13;12,2;61,0;RS1-070
13;11,8;61,0;RS1-070
