Dia;Turno;Temperatura_C;Umidade_RH;Maquina
12;Turno 1;12,1;58;RS1-020
12;Turno 1;11,9;58;RS1-020
12;Turno 1;12,1;58,5;RS1-020
12;Turno 1;12,2;58,5;RS1-020
12;Turno 1;12,3;58,5;RS1-020
12;Turno 1;12,3;57,5;RS1-020
12;Turno 1;12,3;58;RS1-020
12;Turno 2;12,2;58;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59,5;RS1-020
12;Turno 2;12,2;59;RS1-020
12;Turno 2;12,2;60,5;RS1-020
12;Turno 2;12,2;60;RS1-020
12;Turno 2;12,2;60;RS1-020
12;Turno 2;12,1;59,5;RS1-020
12;Turno 2;12,2;61;RS1-020
12;Turno 2;12,2;60,5;RS1-020
12;Turno 2;12,1;60;RS1-020
12;Turno 2;12,1;59;RS1-020
12;Turno 2;12,1;60,5;RS1-020
12;Turno 2;11,9;60;RS1-020
12;Turno 2;11,9;59,5;RS1-020
13;Turno 3;11,9;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;12;59;RS1-020
13;Turno 3;11,9;58,5;RS1-020
13;Turno 3;11,7;59,5;RS1-020
13;Turno 3;12,1;59,5;RS1-020
13;Turno 3;11,8;58,5;RS1-020
13;Turno 3;11,4;58;RS1-020
13;Turno 3;11,8;59,5;RS1-020
13;Turno 3;11,7;59,5;RS1-020
13;Turno 3;11,7;58,5;RS1-020
13;Turno 3;11,8;57,5;RS1-020
13;Turno 3;11,9;58,5;RS1-020
13;Turno 3;12,1;58,5;RS1-020
13;Turno 1;12,1;58;RS1-020
12;Turno 3;11,8;59;RS1-030
12;Turno 3;11,7;59,5;RS1-030
12;Turno 3;12;58;RS1-030
12;Turno 3;11,7;59;RS1-030
12;Turno 3;11,4;59;RS1-030
12;Turno 3;11,6;60;RS1-030
12;Turno 3;11,7;59,5;RS1-030
12;Turno 3;11,5;59;RS1-030
12;Turno 3;11,4;59;RS1-030
12;Turno 3;11,8;59,5;RS1-030
12;Turno 3;11;61,5;RS1-030
12;Turno 3;11,8;59;RS1-030
12;Turno 3;11,6;58;RS1-030
12;Turno 3;11,6;58,5;RS1-030
12;Turno 3;11,9;58;RS1-030
12;Turno 1;11,7;58,5;RS1-030
12;Turno 1;11,4;59;RS1-030
12;Turno 1;11,8;58,5;RS1-030
12;Turno 1;11,6;59,5;RS1-030
12;Turno 1;11,9;59;RS1-030
12;Turno 1;11,6;58;RS1-030
12;Turno 1;11,9;57,5;RS1-030
12;Turno 1;11,7;60,5;RS1-030
12;Turno 1;11,7;59;RS1-030
12;Turno 1;11,5;59;RS1-030
12;Turno 1;12;58,5;RS1-030
12;Turno 1;11,4;60,5;RS1-030
12;Turno 1;12,1;58,5;RS1-030
12;Turno 1;12,1;59,5;RS1-030
12;Turno 1;11,8;59,5;RS1-030
12;Turno 1;12,2;59,5;RS1-030
12;Turno 2;11,7;59;RS1-030
12;Turno 2;12,1;60,5;RS1-030
12;Turno 2;12;60,5;RS1-030
12;Turno 2;11,6;61;RS1-030
12;Turno 2;11,6;60,5;RS1-030
12;Turno 2;12;60,5;RS1-030
12;Turno 2;11,8;61;RS1-030
12;Turno 2;11,9;61;RS1-030
12;Turno 2;11,8;60;RS1-030
12;Turno 2;11,9;60,5;RS1-030
12;Turno 2;12;60;RS1-030
12;Turno 2;11,4;61;RS1-030
12;Turno 2;11,4;60;RS1-030
12;Turno 2;12;59,5;RS1-030
12;Turno 2;11,8;59;RS1-030
12;Turno 2;11,4;61,5;RS1-030
12;Turno 2;11,4;60;RS1-030
13;Turno 3;11,8;59,5;RS1-030
13;Turno 3;11,8;59;RS1-030
13;Turno 3;12;59,5;RS1-030
13;Turno 3;11,7;59,5;RS1-030
13;Turno 3;11,3;60,5;RS1-030
13;Turno 3;11,9;59,5;RS1-030
13;Turno 3;11,1;59,5;RS1-030
13;Turno 3;10,9;60,5;RS1-030
13;Turno 3;11,4;60;RS1-030
13;Turno 3;11;60;RS1-030
13;Turno 3;11,2;60,5;RS1-030
13;Turno 3;11,2;59,5;RS1-030
13;Turno 3;11,6;59;RS1-030
13;Turno 3;11,8;58,5;RS1-030
13;Turno 3;12;60;RS1-030
13;Turno 1;12,1;58,5;RS1-030
12;Turno 3;11;59,5;RS1-040
12;Turno 3;10,5;62,5;RS1-040
12;Turno 3;10,6;63;RS1-040
12;Turno 3;11,9;61;RS1-040
12;Turno 3;10,5;62;RS1-040
12;Turno 3;10,6;63;RS1-040
12;Turno 3;10,6;63,5;RS1-040
12;Turno 3;11,2;60,5;RS1-040
12;Turno 3;11,1;62;RS1-040
12;Turno 3;11,4;61;RS1-040
12;Turno 3;10,6;65;RS1-040
12;Turno 3;11,7;60;RS1-040
12;Turno 3;11;59;RS1-040
12;Turno 3;10,6;62;RS1-040
12;Turno 3;11;63;RS1-040
12;Turno 1;10,8;60,5;RS1-040
12;Turno 1;10,6;62;RS1-040
12;Turno 1;10,9;62,5;RS1-040
12;Turno 1;11,2;64,5;RS1-040
12;Turno 1;11,3;59,5;RS1-040
12;Turno 1;10,7;62;RS1-040
12;Turno 1;11,8;62;RS1-040
12;Turno 1;11,2;62,5;RS1-040
12;Turno 1;10,8;62;RS1-040
12;Turno 1;10,5;63,5;RS1-040
12;Turno 1;10,8;63,5;RS1-040
12;Turno 1;10,6;64,5;RS1-040
12;Turno 1;11,7;61;RS1-040
12;Turno 1;10,9;62,5;RS1-040
12;Turno 1;11;63,5;RS1-040
12;Turno 1;11,7;63;RS1-040
12;Turno 1;11,3;61,5;RS1-040
12;Turno 2;11;63,5;RS1-040
12;Turno 2;11,9;63;RS1-040
12;Turno 2;11,9;64;RS1-040
12;Turno 2;11,3;62;RS1-040
12;Turno 2;10,7;64,5;RS1-040
12;Turno 2;11;65,5;RS1-040
12;Turno 2;11,6;64,5;RS1-040
12;Turno 2;11,5;62,5;RS1-040
12;Turno 2;11,5;63,5;RS1-040
12;Turno 2;11,3;64;RS1-040
12;Turno 2;11,5;64;RS1-040
12;Turno 2;11,7;62,5;RS1-040
12;Turno 2;11,8;61;RS1-040
12;Turno 2;11,5;62;RS1-040
12;Turno 2;10,6;65;RS1-040
12;Turno 2;11,6;62;RS1-040
13;Turno 3;10,9;60,5;RS1-040
13;Turno 3;10,6;63,5;RS1-040
13;Turno 3;10,4;64,5;RS1-040
13;Turno 3;11,9;61,5;RS1-040
13;Turno 3;10,4;62,5;RS1-040
13;Turno 3;10,5;64;RS1-040
13;Turno 3;10,5;64;RS1-040
13;Turno 3;10,8;62,5;RS1-040
13;Turno 3;10,9;62;RS1-040
13;Turno 3;11,6;60,5;RS1-040
13;Turno 3;10,3;65;RS1-040
13;Turno 3;11,5;61;RS1-040
13;Turno 3;11,9;59;RS1-040
13;Turno 3;10,6;62,5;RS1-040
13;Turno 3;11,3;63;RS1-040
13;Turno 1;11,5;60,5;RS1-040
12;Turno 3;12,1;59;RS1-050
12;Turno 3;11,6;60,5;RS1-050
12;Turno 3;11,8;59,5;RS1-050
12;Turno 3;12,2;60,5;RS1-050
12;Turno 3;11,6;60;RS1-050
12;Turno 3;11,6;61;RS1-050
12;Turno 3;11,6;60,5;RS1-050
12;Turno 3;11,7;60;RS1-050
12;Turno 3;11,4;61,5;RS1-050
12;Turno 3;11,7;61,5;RS1-050
12;Turno 3;11,3;62,5;RS1-050
12;Turno 3;12,1;60;RS1-050
12;Turno 3;12,1;58,5;RS1-050
12;Turno 3;11,6;60;RS1-050
12;Turno 3;12;59;RS1-050
12;Turno 1;11,9;59;RS1-050
12;Turno 1;11,7;60;RS1-050
12;Turno 1;11,9;59,5;RS1-050
12;Turno 1;11,9;61;RS1-050
12;Turno 1;12,3;59;RS1-050
12;Turno 1;11,8;59,5;RS1-050
12;Turno 1;11,9;62;RS1-050
12;Turno 1;11,7;61,5;RS1-050
12;Turno 1;11,7;60,5;RS1-050
12;Turno 1;11,6;60,5;RS1-050
12;Turno 1;11,8;60,5;RS1-050
12;Turno 1;11,6;61,5;RS1-050
12;Turno 1;12,1;61;RS1-050
12;Turno 1;11,9;61;RS1-050
12;Turno 1;11,9;61;RS1-050
12;Turno 1;12,7;61;RS1-050
12;Turno 1;12,3;60;RS1-050
12;Turno 2;11,9;61,5;RS1-050
12;Turno 2;12,1;62,5;RS1-050
12;Turno 2;12;64;RS1-050
12;Turno 2;12,2;60,5;RS1-050
12;Turno 2;11,8;62,5;RS1-050
12;Turno 2;11,8;64;RS1-050
12;Turno 2;11,8;63,5;RS1-050
12;Turno 2;12;62,5;RS1-050
12;Turno 2;11,8;62,5;RS1-050
12;Turno 2;11,8;63,5;RS1-050
12;Turno 2;11,7;63,5;RS1-050
12;Turno 2;12,3;62;RS1-050
12;Turno 2;12,4;60;RS1-050
12;Turno 2;12;62;RS1-050
12;Turno 2;11,6;62,5;RS1-050
12;Turno 2;12,1;62;RS1-050
13;Turno 3;12;59,5;RS1-050
13;Turno 3;11,9;61,5;RS1-050
13;Turno 3;11,6;61,5;RS1-050
13;Turno 3;12,3;61;RS1-050
13;Turno 3;11,6;60,5;RS1-050
13;Turno 3;11,5;62,5;RS1-050
13;Turno 3;11,8;60,5;RS1-050
13;Turno 3;11,9;60;RS1-050
13;Turno 3;11,8;59;RS1-050
13;Turno 3;12;59,5;RS1-050
13;Turno 3;11,3;63;RS1-050
13;Turno 3;11,9;61;RS1-050
13;Turno 3;12,3;59;RS1-050
13;Turno 3;11,8;60,5;RS1-050
13;Turno 3;12,2;59,5;RS1-050
13;Turno 1;12,3;60;RS1-050
12;Turno 3;11,4;62,5;RS1-060
12;Turno 3;11,4;61;RS1-060
12;Turno 3;11,1;60,5;RS1-060
12;Turno 3;11;61,5;RS1-060
12;Turno 3;11,4;62;RS1-060
12;Turno 3;11,3;61;RS1-060
12;Turno 3;11,2;61;RS1-060
12;Turno 3;11,2;61,5;RS1-060
12;Turno 3;11,4;62,5;RS1-060
12;Turno 3;11,3;62;RS1-060
12;Turno 3;11,1;61,5;RS1-060
12;Turno 3;11;61,5;RS1-060
12;Turno 3;11,5;62;RS1-060
12;Turno 3;11,3;61;RS1-060
12;Turno 3;11,1;60,5;RS1-060
12;Turno 1;11,1;61;RS1-060
12;Turno 1;11,3;62;RS1-060
12;Turno 1;11,4;61,5;RS1-060
12;Turno 1;11,1;61;RS1-060
12;Turno 1;11;61,5;RS1-060
12;Turno 1;11,4;62,5;RS1-060
12;Turno 1;11,3;62;RS1-060
12;Turno 1;11,3;61,5;RS1-060
12;Turno 1;11,1;62;RS1-060
12;Turno 1;11,2;62;RS1-060
12;Turno 1;11,3;61,5;RS1-060
12;Turno 1;11,2;61,5;RS1-060
12;Turno 1;11,2;62;RS1-060
12;Turno 1;11,6;62,5;RS1-060
12;Turno 1;11,5;62;RS1-060
12;Turno 1;11,5;61,5;RS1-060
12;Turno 1;11,7;61;RS1-060
12;Turno 2;11,7;61;RS1-060
12;Turno 2;11,8;61,5;RS1-060
12;Turno 2;11,8;61,5;RS1-060
12;Turno 2;11,8;61,5;RS1-060
12;Turno 2;11,8;61,5;RS1-060
